Title,Address,Url
Engineering Graduates Interested in Fire Protection Engineering!,New York,https://newyork.craigslist.org/mnh/egr/d/engineering-graduates/6610460074.html
ARCHITECT,Chelsea,https://newyork.craigslist.org/mnh/egr/d/architect/6610321733.html
DRAFT PERSON AT FZAD,Midtown East,https://newyork.craigslist.org/mnh/egr/d/draft-person-at-fzad/6610095523.html
Revit Drafter needed at High-End Glass Wall Company,Chelsea,https://newyork.craigslist.org/mnh/egr/d/revit-drafter-needed-at-high/6609983401.html
Estimator Needed.,White Plains,https://newyork.craigslist.org/wch/egr/d/estimator-needed/6609763947.html
Intermediate Interior Designer FREELANCE (ACAD),Manhattan,https://newyork.craigslist.org/mnh/egr/d/intermediate-interior/6609706839.html
Audio Visual (A/V) Revit Engineer | Drafter,Midtown,https://newyork.craigslist.org/mnh/egr/d/audio-visual-v-revit-engineer/6609603761.html
Project Manager,,https://newyork.craigslist.org/que/egr/d/project-manager/6609527409.html
Cadd/Drafter,"Hoboken, NJ",https://newyork.craigslist.org/mnh/egr/d/cadd-drafter/6609502924.html
CERTIFIED Engineers in Training (EIT) ONLY for IMMEDIATE HIRE!,"Hauppauge, NY",https://newyork.craigslist.org/lgi/egr/d/certified-engineers-in/6609488217.html
Full Time General Auto Mechanic Needed,East Harlem,https://newyork.craigslist.org/mnh/egr/d/full-time-general-auto/6609168625.html
CAD Draftsman / Furniture,Upper East Side,https://newyork.craigslist.org/mnh/egr/d/cad-draftsman-furniture/6609075381.html
Intermediate level Architect / Job Captain - Multifamily Residential,SoHo,https://newyork.craigslist.org/mnh/egr/d/intermediate-level-architect/6609071366.html
Architect - Mid-level,Midtown West,https://newyork.craigslist.org/mnh/egr/d/architect-mid-level/6609035200.html
Architects,Chelsea,https://newyork.craigslist.org/mnh/egr/d/architects/6609004473.html
ESTIMATOR - DRYWALL & ACOUSTICAL,Midtown,https://newyork.craigslist.org/mnh/egr/d/estimator-drywall-acoustical/6609000790.html
Project Architect(s),"Jamaica, Queens",https://newyork.craigslist.org/que/egr/d/project-architects/6608993642.html
PART TIME CLASS II EXPEDITER WANTED,QUEENS,https://newyork.craigslist.org/que/egr/d/part-time-class-ii-expediter/6608931227.html
Seeking Production Manager for Display/Experiential Production Company,"Brooklyn, NY",https://newyork.craigslist.org/brk/egr/d/seeking-production-manager/6608927272.html
Construction Inspector - Electrical and Communications Systems,New York,https://newyork.craigslist.org/wch/egr/d/construction-inspector/6608907554.html
Professional wanted,NYC,https://newyork.craigslist.org/brk/egr/d/professional-wanted/6608886673.html
Expediting Project Manager,Downtown,https://newyork.craigslist.org/mnh/egr/d/expediting-project-manager/6608864109.html
Project Manager,Mount Vernon,https://newyork.craigslist.org/wch/egr/d/project-manager/6608793081.html
"NYC Cerified Asbestos Investigator, Mold Assessor, Lead inspector",New York City,https://newyork.craigslist.org/que/egr/d/nyc-cerified-asbestos/6608787625.html
Senior Engineer,,https://newyork.craigslist.org/mnh/egr/d/senior-engineer/6608733269.html
Drafter needed immediately,Amityville,https://newyork.craigslist.org/lgi/egr/d/drafter-needed-immediately/6608688628.html
Draftsman Needed - Contract Position,"Windsor Terrace, Brooklyn",https://newyork.craigslist.org/brk/egr/d/draftsman-needed-contract/6608678268.html
Career Opportunities in Engineering for Immigrant Professionals,"New York, NY",https://newyork.craigslist.org/mnh/egr/d/career-opportunities-in/6608502320.html
AutoCAD PM/Drafting Positions for Site Safety Plans,Manhattan,https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions/6608411645.html
CONSTRUCTION SUPERVISOR/FOREMAN,Bronx,https://newyork.craigslist.org/brx/egr/d/construction-supervisor/6608405633.html
Energy Engineer,Midtown,https://newyork.craigslist.org/mnh/egr/d/energy-engineer/6608319146.html
Junior Interior Design - with autocad for interior design/build,Upper East Side,https://newyork.craigslist.org/mnh/egr/d/junior-interior-design-with/6608047894.html
NYC DOB Expediter Seeks 2 Filing Rep/Project Manager,All Boroughs,https://newyork.craigslist.org/que/egr/d/nyc-dob-expediter-seeks-2/6608043026.html
